input_file,compare_file,abstract_semantic_score,intro_semantic_score,conclusion_semantic_score,final_semantic_score,final_score
PMC13901_plagiated.xml,PMC13901.xml,0.86916363,0.7696372,0.8747737,,0.0
PMC13901_plagiated.xml,PMC29080.xml,0.40952533,0.24369006,0.520771,,0.0
PMC13901_plagiated.xml,PMC32247.xml,0.09045753,0.07951202,0.060608298,,0.0
PMC13901_plagiated.xml,PMC34549.xml,0.33475387,0.19677544,0.28163844,,0.0
PMC13901_plagiated.xml,PMC35277.xml,0.33660394,0.4789399,0.34900635,,0.0
PMC13902_plagiated.xml,PMC13902.xml,0.86584246,0.34898737,0.80921483,,0.0
PMC13902_plagiated.xml,PMC13901.xml,0.3353853,0.44738764,0.24233957,,0.0
PMC13902_plagiated.xml,PMC32304.xml,0.33230838,0.3981331,0.3472327,,0.0
PMC13902_plagiated.xml,PMC32250.xml,0.15149797,0.2851563,0.3207839,,0.0
PMC13902_plagiated.xml,PMC30711.xml,0.31265765,0.23405296,0.22587194,,0.0
PMC13913_plagiated.xml,PMC13913.xml,0.9290259,0.6053093,0.9271654,,0.0
PMC13913_plagiated.xml,PMC31349.xml,0.13686839,0.17270412,0.2672143,,0.0
PMC13913_plagiated.xml,PMC32193.xml,0.22706419,0.29783636,0.15429057,,0.0
PMC13913_plagiated.xml,PMC29098.xml,0.17883483,0.17408487,0.26590833,,0.0
PMC13913_plagiated.xml,PMC31339.xml,0.06747612,0.22293669,0.1639723,,0.0
PMC15015_plagiated.xml,PMC15015.xml,0.8257033,0.3528379,0.9362376,,0.0
PMC15015_plagiated.xml,PMC31411.xml,0.27498466,0.24311434,0.41813874,,0.0
PMC15015_plagiated.xml,PMC33392.xml,0.222235,0.20003858,0.3487444,,0.0
PMC15015_plagiated.xml,PMC17599.xml,0.7171732,0.37069672,0.5860437,,0.0
PMC15015_plagiated.xml,PMC35277.xml,0.18492892,0.26368093,0.16063759,,0.0
PMC15023_plagiated.xml,PMC15023.xml,0.9009624,0.48725456,0.86831224,,0.0
PMC15023_plagiated.xml,PMC35354.xml,0.26834446,0.18154702,0.4024446,,0.0
PMC15023_plagiated.xml,PMC29012.xml,-0.0014879061,0.13160484,0.10063085,,0.0
PMC15023_plagiated.xml,PMC32297.xml,0.28552544,0.37011433,0.2776643,,0.0
PMC15023_plagiated.xml,PMC32197.xml,0.24078819,0.2285604,0.3483593,,0.0
PMC15024_plagiated.xml,PMC15024.xml,0.92117757,0.42840686,0.88594866,,0.0
PMC15024_plagiated.xml,PMC33394.xml,0.28066283,0.33135295,0.36508393,,0.0
PMC15024_plagiated.xml,PMC31336.xml,0.17651585,0.36600098,0.2297196,,0.0
PMC15024_plagiated.xml,PMC34549.xml,0.33239338,0.22453889,0.37860793,,0.0
PMC15024_plagiated.xml,PMC35277.xml,0.32960564,0.4463053,0.42304403,,0.0
PMC15025_plagiated.xml,PMC15025.xml,0.9133105,0.43054175,0.9632218,,0.0
PMC15025_plagiated.xml,PMC35361.xml,0.22693756,0.25289997,0.33941677,,0.0
PMC15025_plagiated.xml,PMC32299.xml,0.17231493,0.33286837,0.29037154,,0.0
PMC15025_plagiated.xml,PMC34549.xml,0.2642243,0.42462057,0.42031562,,0.0
PMC15025_plagiated.xml,PMC32182.xml,0.043213747,0.19777137,0.36822394,,0.0
PMC15027_plagiated.xml,PMC15027.xml,0.95578235,0.13667199,0.8664735,,0.0
PMC15027_plagiated.xml,PMC32197.xml,0.22852162,0.12801945,0.3066588,,0.0
PMC15027_plagiated.xml,PMC33394.xml,0.460778,0.21317935,0.5162733,,0.0
PMC15027_plagiated.xml,PMC15028.xml,0.08792514,0.05763406,0.31600118,,0.0
PMC15027_plagiated.xml,PMC31481.xml,0.30139717,0.15554526,0.4935267,,0.0
PMC15028_plagiated.xml,PMC15028.xml,0.82848763,0.4735356,0.86612964,,0.0
PMC15028_plagiated.xml,PMC31481.xml,0.21430685,0.3256551,0.38952628,,0.0
PMC15028_plagiated.xml,PMC15027.xml,0.03387017,0.22448106,0.34903842,,0.0
PMC15028_plagiated.xml,PMC37355.xml,-0.10526945,0.2275512,0.24326791,,0.0
PMC15028_plagiated.xml,PMC30706.xml,0.028505052,0.08282779,0.2654471,,0.0
PMC16139_plagiated.xml,PMC16139.xml,0.87327373,0.6247013,0.797689,,0.0
PMC16139_plagiated.xml,PMC15023.xml,0.3817601,0.4446998,0.37924603,,0.0
PMC16139_plagiated.xml,PMC17803.xml,0.3405639,0.20913845,0.48397934,,0.0
PMC16139_plagiated.xml,PMC35277.xml,0.28330117,0.4725473,0.33007848,,0.0
PMC16139_plagiated.xml,PMC29092.xml,0.26956654,0.26793763,0.4472551,,0.0
PMC16145_plagiated.xml,PMC16145.xml,0.74805725,0.46130568,0.7975706,,0.0
PMC16145_plagiated.xml,PMC34549.xml,0.19258657,0.18275827,0.26728472,,0.0
PMC16145_plagiated.xml,PMC29080.xml,0.33466876,0.37224203,0.3367101,,0.0
