file,abstract,introduction,conclusion
PMC13901.xml,"['breast cancer susceptibility', 'cancer susceptibility genes', 'susceptibility genes encode', 'normal cellular functions', 'genes encode proteins', 'breast cancer']","['Introduction Hereditary predisposition', 'Introduction Hereditary', 'Hereditary predisposition', 'breast cancer susceptibility', 'cancer susceptibility genes', 'breast cancer']","['non-embryogenic human tissues', 'cell cycle', 'varieties of non-embryogenic', 'non-embryogenic human', 'human tissues', 'proteins']"
PMC13902.xml,"['transforming growth factor', 'carcinogen-initiated rat model', 'growth factor', 'chemopreventive efficacy', 'carcinogen-initiated rat', 'hypothesis that transforming']","['TGF-β', 'breast cancer', 'tamoxifen', 'TGF-βs', 'agents', 'Chemopreventive agents']","['mammary tumorigenesis', 'shown that treatment', 'treatment of rats', 'retinoids results', 'results in effective', 'local expression']"
PMC13913.xml,"['Million Women Study', 'ischaemic heart disease', 'sufficient statistical power', 'detect relative risks', 'hormone replacement therapy', 'current users compared']","['Million Women Study', 'hormone replacement therapy', 'nationwide collaborative research', 'collaborative research project', 'Million Women', 'Health Service Breast']","['Million Women Study', 'largest cohort studies', 'Million Women', 'Women Study', 'studies ever devised', 'Women']"
PMC15015.xml,"['gene shaving method', 'gene expression data', 'worth further investigation', 'shaving method', 'potentially useful tool', 'tool for exploration']","['genes', 'developed DNA arrays', 'gene', 'DNA arrays', 'samples', 'gene expression']","['DNA microarray experiments', 'set of DNA', 'DNA microarray', 'isolating interesting clusters', 'proposed shaving methods', 'genes']"
PMC15023.xml,"['developing brain show', 'postnatal developing brain', 'phase of development', 'small percentage', 'genes expressed', 'expression level']","['developmentally regulated', 'RNA fingerprints', 'organs and tissues', 'occurs during embryogenesis', 'concerned with growth', 'vertebrate organs']","['developmentally regulated transcripts', 'developmentally regulated', 'analyzing gene expression', 'postnatal developing murine', 'regulated transcripts', 'developing murine brain']"
PMC15024.xml,"['region of GCNF', 'GCNF is contained', 'protein-coding region', 'exons', 'GCNF', 'nuclear receptor gene']","['nuclear receptor superfamily', 'cell nuclear factor', 'GCNF', 'nuclear factor', 'cell nuclear receptor', 'nuclear receptor']","['GCNF is contained', 'Conclusions The protein-coding', 'protein-coding region', 'region of GCNF', 'GCNF', 'exons']"
PMC15025.xml,"['common evolutionary origin', 'single protein superfamily', 'distinct structural fold', 'UDGs form', 'evolutionary origin', 'form a single']","['Background Mutagenic uracil', 'Background Mutagenic', 'uracil DNA glycosylases', 'Mutagenic uracil', 'thymine opposite guanine', 'uracil DNA']","['protein structure comparisons', 'sequence profile searches', 'distinct structural fold', 'common evolutionary origin', 'multiple alignment analysis', 'single protein superfamily']"
PMC15027.xml,"['Special-purpose databases organized', 'predicted protein functions', 'protein functions provide', 'Special-purpose databases', 'databases organized', 'basis of phylogenetic']","['genome annotation', 'annotation', 'genome', 'genomes', 'COGs', 'database']","['COG database', 'database', 'COG', 'COGs', 'Conclusions The annotation', 'functional']"
PMC15028.xml,"['distributing EMBL data', 'EMBL database address', 'traditional flat-file formats', 'EMBL data', 'EMBL database', 'distributing EMBL']","['European Bioinformatics Institute', 'European Bioinformatics', 'Bioinformatics Institute', 'Nucleotide Sequence Database', 'European Molecular Biology', 'Molecular Biology Laboratory']","['CORBA infrastructure developed', 'EMBL object model', 'CORBA infrastructure', 'EMBL IDL specification', 'CORBA server', 'Conclusions This paper']"
PMC16139.xml,"['genomic sequence symmetrically', 'X-alignments involves large', 'involves large chromosomal', 'large chromosomal inversions', 'mechanism of generation', 'involves large']","['Background Large-scale genomic', 'Large-scale genomic rearrangements', 'Background Large-scale', 'Large-scale genomic', 'large-scale genome-changing events', 'Large-scale']","['closely related species', 'Conclusions We present', 'origin or terminus', 'conservation between bacterial', 'replication origin', 'related species']"
