file,abstract,introduction,conclusion
PMC13901.xml,"expressed, protein, show, spermatogenesis, ovary, proposed","cell, mrna, cancer, breast, mouse, level","cell, mrna, cancer, breast, mouse, level"
PMC13902.xml,"effect, chemoprevention, expression, breast, tamoxifen, shown","agent, tamoxifen, mammary, breast, chemopreventive, rat","agent, tamoxifen, mammary, breast, rat, chemopreventive"
PMC13913.xml,"woman, study, year, cohort, million, one","woman, million, nhsbsp, uk, study, screening","woman, nhsbsp, uk, study, screening, breast"
PMC15015.xml,"gene, method, data, sample, shaving, cluster","gene, cluster, sample, method, figure, clustering","gene, cluster, sample, method, figure, clustering"
PMC15023.xml,"expression, transcript, profile, brain, regulated, developmentally","gene, fingerprint, development, expression, developmentally, regulated","gene, fingerprint, development, developmentally, regulated, expression"
PMC15024.xml,"receptor, study, region, present, unique, think","gcnf, receptor, cell, nuclear, identified, kb","gcnf, cell, receptor, nuclear, member, mouse"
PMC15025.xml,"udgs, family, protein, superfamily, form, distinct","udgs, uracil, dna, enzyme, similar, several","udgs, enzyme, dna, uracil, similar, bacteria"
PMC15027.xml,"cog, genome, functional, database, classification, new","genome, database, cog, annotation, protein, sequence","genome, database, cog, annotation, protein, sequence"
PMC15028.xml,"embl, standard, object, corba, server, data","data, sequence, database, embl, object, corba","data, sequence, database, embl, object, also"
PMC16139.xml,"specie, genome, pair, event, related, level","genome, specie, related, event, study, duplication","genome, specie, related, event, study, duplication"
PMC16145.xml,"sequence, chromosome, function, element, genome, symbiotic","rhizobium, symbiotic, gene, genome, bacteria, sequence","rhizobium, symbiotic, gene, genome, bacteria, sequence"
PMC17599.xml,"gene, data, cluster, model, expression, procedure","gene, expression, outcome, cluster, data, sample","gene, expression, outcome, cluster, sample, input"
PMC17803.xml,"b, cell, expansion, antigen, clonal, joint","cell, arthritis, rheumatoid, synovial, clonal, gene","cell, arthritis, rheumatoid, synovial, immunoglobulin, clonal"
PMC25775.xml,"sequence, dna, specific, fragmentation, found, region","sequence, dna, macronuclear, precursor, fragmentation, bp","sequence, dna, macronuclear, precursor, fragmentation, bp"
PMC28987.xml,"mixture, temperature, test, solely, stability, stable","mixture, package, mct, high, size, lipid","mixture, package, mct, high, size, lipid"
PMC28992.xml,"blood, analysis, prehospital, transportable, gas, emergency","emergency, pulse, oximetry, oxygenation, failure, physician","emergency, pulse, oximetry, oxygenation, failure, physician"
PMC28994.xml,"renal, patient, dysfunction, survival, poor, weaning","patient, renal, care, respiratory, hospital, dysfunction","patient, renal, care, respiratory, hospital, dysfunction"
PMC29004.xml,"radiologist, radiograph, review, interpretation, study, could","radiograph, radiologist, interpretation, chest, determine, pi","radiograph, radiologist, interpretation, chest, determine, pi"
PMC29012.xml,"content, aspiration, position, semirecumbent, cisapride, gastric","gastric, aspiration, content, position, patient, tube","gastric, aspiration, content, position, patient, tube"
PMC29014.xml,"catheter, cm, lumen, port, drug, proximal","port, catheter, cm, intravenous, incompatible, precipitation","port, catheter, cm, intravenous, incompatible, precipitation"
PMC29016.xml,"heliox, mechanical, ventilation, compliance, lung, resistance","gas, heliox, airway, ventilation, flow, lung","gas, heliox, airway, ventilation, flow, lung"
PMC29017.xml,"svr, patient, patent, summary, subgroup, study","svr, patient, shock, low, resistance, pressure","svr, patient, low, shock, flow, resistance"
