file,abstract,introduction,conclusion
PMC13901.xml,"beyond, associated, gene, antibody, protein, expressed","level, breast, mouse, cancer, mrna, cell","beyond, associated, gene, antibody, protein, expressed"
PMC13902.xml,"work, breast, tamoxifen, expression, chemoprevention, effect","chemopreventive, rat, breast, mammary, tamoxifen, agent","work, breast, tamoxifen, expression, chemoprevention, effect"
PMC13913.xml,"hrt, million, cohort, year, study, woman","million, uk, breast, screening, nhsbsp, woman","hrt, million, cohort, year, study, woman"
PMC15015.xml,"cluster, data, shaving, sample, method, gene","clustering, figure, method, sample, cluster, gene","cluster, data, shaving, sample, method, gene"
PMC15023.xml,"profile, developmentally, brain, regulated, transcript, expression","expression, regulated, developmentally, development, fingerprint, gene","profile, developmentally, brain, regulated, transcript, expression"
PMC15024.xml,"conclusion, member, useful, receptor, region, study","known, kb, nuclear, cell, receptor, gcnf","conclusion, member, useful, receptor, region, study"
PMC15025.xml,"evolutionary, sequence, superfamily, family, protein, udgs","sequence, similar, enzyme, uracil, dna, udgs","evolutionary, sequence, superfamily, family, protein, udgs"
PMC15027.xml,"classification, organism, functional, genome, database, cog","sequence, protein, cog, annotation, database, genome","classification, organism, functional, genome, database, cog"
PMC15028.xml,"provides, model, corba, object, standard, embl","also, embl, object, database, sequence, data","provides, model, corba, object, standard, embl"
PMC16139.xml,"comparison, related, pair, event, genome, specie","duplication, specie, event, study, related, genome","comparison, related, pair, event, genome, specie"
PMC16145.xml,"element, genome, symbiotic, function, chromosome, sequence","sequence, genome, bacteria, symbiotic, gene, rhizobium","element, genome, symbiotic, function, chromosome, sequence"
PMC17599.xml,"procedure, expression, model, cluster, data, gene","data, model, cluster, outcome, expression, gene","procedure, expression, model, cluster, data, gene"
PMC17803.xml,"arthritis, clonal, antigen, joint, expansion, cell","gene, immunoglobulin, synovial, arthritis, rheumatoid, cell","arthritis, clonal, antigen, joint, expansion, cell"
PMC25775.xml,"found, fragmentation, macronuclear, specific, dna, sequence","bp, fragmentation, macronuclear, precursor, dna, sequence","found, fragmentation, macronuclear, specific, dna, sequence"
PMC28987.xml,"complied, clinical, choice, regimen, used, mixture","lipid, low, high, package, mct, mixture","complied, clinical, choice, regimen, used, mixture"
PMC28992.xml,"system, emergency, transportable, gas, analysis, blood","treatment, abnormal, blood, important, pulse, emergency","system, emergency, transportable, gas, analysis, blood"
PMC28994.xml,"transfer, rwc, weaning, patient, dysfunction, renal","admission, hospital, care, respiratory, renal, patient","transfer, rwc, weaning, patient, dysfunction, renal"
PMC29004.xml,"study, cost, interpretation, review, radiograph, radiologist","available, determine, chest, radiologist, radiograph, interpretation","study, cost, interpretation, review, radiograph, radiologist"
PMC29012.xml,"cisapride, position, gastric, aspiration, semirecumbent, content","tube, patient, position, content, aspiration, gastric","cisapride, position, gastric, aspiration, semirecumbent, content"
PMC29014.xml,"length, administration, port, lumen, catheter, cm","medial, intravenous, incompatible, cm, catheter, port","length, administration, port, lumen, catheter, cm"
PMC29016.xml,"resistance, may, bronchospasm, ventilation, mechanical, heliox","lung, flow, airway, ventilation, heliox, gas","resistance, may, bronchospasm, ventilation, mechanical, heliox"
PMC29017.xml,"describe, considering, condition, low, patient, svr","pressure, resistance, patient, shock, low, svr","describe, considering, condition, low, patient, svr"
PMC29028.xml,"icp, identify, injured, design, warranted, study","bladder, across, ac, wall, iap, pressure","icp, identify, injured, design, warranted, study"
PMC29030.xml,"prophylaxis, institution, guideline, commonly, agent, used","result, clinically, bleeding, survey, prophylaxis, important","prophylaxis, institution, guideline, commonly, agent, used"
PMC29031.xml,"severity, thus, excess, mortality, patient, thrombocytopenia","severe, icu, study, mortality, patient, thrombocytopenia","severity, thus, excess, mortality, patient, thrombocytopenia"
PMC29044.xml,"secondary, gb, neurological, cns, isolated, vasculitis","agent, cns, vasculitis, vessel, cytomegalovirus, virus","secondary, gb, neurological, cns, isolated, vasculitis"
PMC29046.xml,"application, patient, early, detection, clinical, care","culture, aeruginosa, sample, pcr, burn, wound","application, patient, early, detection, clinical, care"
PMC29048.xml,"anatolia, spleen, region, important, rupture, malaria","spontaneous, case, area, rupture, spleen, malaria","anatolia, spleen, region, important, rupture, malaria"
PMC29057.xml,"previously, cell, ca, containing, structure, dna","ca, sequence, genome, poly, structure, dna","previously, cell, ca, containing, structure, dna"
PMC29058.xml,"vaccinia, virus, within, kinase, sequence, protein","substrate, vaccinia, phosphorylation, virus, kinase, protein","vaccinia, virus, within, kinase, sequence, protein"
PMC29059.xml,"study, tissue, method, visualise, activity, aaa","substrate, ache, bche, aaa, activity, ches","study, tissue, method, visualise, activity, aaa"
PMC29061.xml,"metabolic, deletion, silico, study, coli, phenotype","silico, information, approach, metabolic, cellular, coli","metabolic, deletion, silico, study, coli, phenotype"
PMC29062.xml,"imaging, cytoskeleton, according, different, dynamic, cell","fiber, one, actin, form, moesin, cell","imaging, cytoskeleton, according, different, dynamic, cell"
PMC29063.xml,"show, signaling, srf, transactivation, activation, sre","response, tcfs, transcription, factor, sre, srf","show, signaling, srf, transactivation, activation, sre"
PMC29065.xml,"required, report, based, cell, adenoviral, gene","reporter, transfer, transfection, delivery, gene, cell","required, report, based, cell, adenoviral, gene"
PMC29066.xml,"bpaec, arterial, act, cell, study, resveratrol","study, wine, cell, resveratrol, change, chd","bpaec, arterial, act, cell, study, resveratrol"
PMC29067.xml,"dystrophins, conclusion, forebrain, abnormal, possibly, brain","study, dystrophic, muscle, protein, brain, dystrophin","dystrophins, conclusion, forebrain, abnormal, possibly, brain"
PMC29068.xml,"border, form, bone, mouse, osteoclast, unable","well, mouse, bone, marrow, cell, osteoclast","border, form, bone, mouse, osteoclast, unable"
PMC29073.xml,"class, cell, gypsy, virus, envelope, protein","cell, homologs, insect, virion, protein, envelope","class, cell, gypsy, virus, envelope, protein"
PMC29077.xml,"major, skeletal, muscle, transgene, fiber, expression","cmv, skeletal, type, muscle, fiber, expression","major, skeletal, muscle, transgene, fiber, expression"
PMC29079.xml,"regulation, cycle, phase, cell, stationary, ribosome","particle, tagged, ribosome, protein, ribosomal, regulation","regulation, cycle, phase, cell, stationary, ribosome"
PMC29080.xml,"conclusion, undifferentiated, cell, role, myoblasts, isoforms","retardation, member, fragile, protein, long, isoforms","conclusion, undifferentiated, cell, role, myoblasts, isoforms"
PMC29081.xml,"modifier, provide, result, involving, mouse, glaucoma","iop, phenotype, iris, gene, glaucoma, mouse","modifier, provide, result, involving, mouse, glaucoma"
PMC29083.xml,"conclusion, combined, bacs, localization, analysis, sarcospan","chromosome, protein, region, muscle, gene, sarcospan","conclusion, combined, bacs, localization, analysis, sarcospan"
PMC29085.xml,"snubnose, tail, three, vicinity, chromosome, gene","protein, actin, three, one, gene, subunit","snubnose, tail, three, vicinity, chromosome, gene"
PMC29086.xml,"although, highly, vivo, ctns, mouse, cystinosis","deletion, cystinosin, ctns, gene, cystinosis, cystine","although, highly, vivo, ctns, mouse, cystinosis"
PMC29087.xml,"work, epidemiology, environmental, cholerae, better, cholera","rate, population, cholerae, outbreak, water, cholera","work, epidemiology, environmental, cholerae, better, cholera"
PMC29088.xml,"order, form, might, suggesting, structure, dna","complex, sequence, form, study, protein, dna","order, form, might, suggesting, structure, dna"
PMC29089.xml,"generate, cdna, procedure, full, length, clone","full, length, two, primer, cdna, clone","generate, cdna, procedure, full, length, clone"
PMC29092.xml,"recoding, machinery, involved, also, signal, readthrough","nucleotide, sequence, codon, termination, stop, readthrough","recoding, machinery, involved, also, signal, readthrough"
PMC29094.xml,"study, aitds, aitd, erβ, gene, polymorphism","estrogen, erβ, polymorphism, patient, aitds, gene","study, aitds, aitd, erβ, gene, polymorphism"
PMC29096.xml,"clinical, antipsychotic, lymphocyte, receptor, dopamine, peripheral","site, system, peripheral, receptor, schizophrenia, dopamine","clinical, antipsychotic, lymphocyte, receptor, dopamine, peripheral"
PMC29097.xml,"among, within, shown, sequence, virus, common","sequence, region, structural, tm, protein, virus","among, within, shown, sequence, virus, common"
PMC29098.xml,"early, diabetes, rejection, hyperglycaemia, patient, allograft","acute, diabetes, allograft, hyperglycaemia, rejection, patient","early, diabetes, rejection, hyperglycaemia, patient, allograft"
