file,abstract,introduction,conclusion
PMC13901.xml,"brca1, brca2, tissue, breast, cancer, germ","brca1, cells, brca2, mrna, cancer, breast","expressed, brca1, brca2, proteins, widely, associated"
PMC13902.xml,"βs, tgf, chemopreventive, efficacy, retinoids, model","tgf, tamoxifen, agents, mammary, breast, chemopreventive","tgf, chemoprevention, βs, effect, expression, tamoxifen"
PMC13913.xml,"cancer, users, year, lung, breast, colorectal","million, screening, women, nhsbsp, uk, study","women, study, million, cohort, years, uk"
PMC15015.xml,"gene, worth, useful, tool, shaving, potentially","genes, samples, gene, figure, cluster, shaving","genes, shaving, data, methods, samples, gene"
PMC15023.xml,"brain, postnatal, transcripts, level, changes, complex","genes, development, developmentally, fingerprints, regulated, expression","expression, transcripts, developmentally, regulated, brain, rna"
PMC15024.xml,"useful, studies, structure, region, receptor, protein","gcnf, receptor, nuclear, cells, developing, identified","studies, region, useful, present, additional, coding"
PMC15025.xml,"catalytic, superfamily, combined, common, construction, differences","udgs, uracil, dna, enzymes, similar, specific","udgs, protein, families, sequence, gene, distinct"
PMC15027.xml,"genome, gene, differential, functions, functional, features","annotation, genome, genomes, database, cogs, analysis","functional, database, classification, probable, genome, new"
PMC15028.xml,"corba, embl, users, traditional, address, applications","data, database, embl, sequence, objects, flat","embl, standard, object, data, provides, corba"
PMC16139.xml,"alignments, inversions, chromosomal, origin, bacterial, common","large, genomes, species, genome, related, scale","species, pairs, events, related, genome, evolutionary"
PMC16145.xml,"ngr234, genome, functions, elements, transposable, iss","symbiotic, genes, rhizobia, bacteria, rhizobium, ngr234","chromosome, functions, sequences, genome, megaplasmid, ngr234"
PMC17599.xml,"worthy, useful, tree, tool, potentially, investigation","expression, genes, outcome, data, model, inputs","data, clusters, gene, expression, tree, models"
PMC17803.xml,"cell, rheumatoid, arthritis, clonal, cells, level","cell, cells, rheumatoid, arthritis, synovial, clonal","cells, clonal, cell, arthritis, memory, expansions"
PMC25775.xml,"results, tgaa, mechanistic, allow, cbs, ciliate","dna, sequences, sequence, precursor, macronuclear, fragmentation","dna, sequences, required, macronuclear, specific, fragmentation"
PMC28987.xml,"treated, patients, needs, metabolic, lipid, formulae","mixtures, packages, mct, high, low, lipid","used, period, 28, acceptable, choice, clinical"
PMC28992.xml,"yields, information, additionally, arrhythmia, base, capnometry","emergency, ventilation, pulse, cardiac, austria, failure","blood, analysis, gas, emergency, transportable, prehospital"
PMC28994.xml,"poor, rrt, patients, pmv, hospital, insufficiency","patients, renal, respiratory, ventilator, care, rwc","renal, patients, dysfunction, rwc, pmv, poor"
PMC29004.xml,"chest, radiographs, pi, therapeutic, findings, based","radiologist, determine, chest, radiographs, interpretation, pi","radiographs, radiologist, review, cost, radiologists, need"
PMC29012.xml,"aspiration, gastric, semirecumbent, cisapride, contents, position","gastric, aspiration, position, contents, patients, prevent","aspiration, gastric, semirecumbent, cisapride, position, ventilator"
PMC29014.xml,"port, medial, vivo, effects, administration, adverse","catheter, cm, port, intravenous, incompatible, lumen","catheter, cm, administration, proximal, lumen, using"
PMC29016.xml,"ventilation, pediatric, administration, bronchospasm, heliox, mechanical","gas, heliox, ventilation, flow, airways, lung","heliox, ventilation, mechanical, lung, bronchospasm, severe"
PMC29017.xml,"patients, svr, nonseptic, low, etiologies, wide","svr, shock, patients, low, resistance, pressure","svr, patients, importance, 24, 55, 800dynes"
PMC29028.xml,"abdominal, intra, study, pressure, design, identify","iap, wall, pressures, abdominal, acs, bladder","study, warranted, design, identify, icp, iap"
PMC29030.xml,"guidelines, wide, pre, developing, existing, institutions","important, survey, prophylaxis, clinically, bleeding, stress","used, antagonists, commonly, guidelines, histamine, prophylaxis"
PMC29031.xml,"thrombocytopenia, true, increased, 50, blood, causal","thrombocytopenia, patients, mortality, studies, severe, icu","thrombocytopenia, mortality, patients, excess, severity, economic"
PMC29044.xml,"immune, vasculitis, gbs, cmv, formula, failure","virus, vessels, vasculitis, cytomegalovirus, cns, zoster","vasculitis, isolated, cns, neurological, primary, secondary"
PMC29046.xml,"pcr, culture, detection, elisa, range, rtd","pcr, samples, aeruginosa, burn, quantitative, wound","pcr, rtd, detection, care, early, clinical"
PMC29048.xml,"cases, malaria, patients, turkey, region, spleen","malaria, spleen, rupture, areas, cases, spontaneous","malaria, important, region, rupture, spleen, complications"
PMC29057.xml,"dna, form, strands, duplex, support, called","dna, double, stranded, poly, form, bands","dna, containing, poly, structures, ca, previously"
PMC29058.xml,"site, protein, vivo, kinases, differs, enzyme","protein, b1r, h5r, kinase, virus, temperature","protein, sequence, kinase, substrate, virus, residues"
PMC29059.xml,"visualise, polyacrylamide, novel, method, gels, developed","ches, activity, aaa, bche, ache, substrate","aaa, activity, visualise, method, tissue, study"
PMC29061.xml,"supplementary, information","coli, cellular, metabolic, information, silico, integrated","coli, silico, study, metabolic, metabolism, deletion"
PMC29062.xml,"actin, changes, dynamic, inadequate, implicated, imaging","cells, moesin, actin, form, dynamic, cell","actin, different, gfp, moesin, dynamic, cells"
PMC29063.xml,"ebpβ, srf, sre, transcription, mitogenic, dependent","ebpβ, sre, srf, terminal, p35, ras","sre, ras, transactivation, model, conclusions, demonstrates"
PMC29065.xml,"transfer, gene, approach, cells, hepatic, promising","gene, cells, delivery, transfection, rhsc, egfp","gene, adenoviral, required, delivery, transfer, vector"
PMC29066.xml,"resveratrol, changes, vitro, interacts, agent, cardioprotective","resveratrol, chd, changes, wine, studies, endothelial","resveratrol, studies, cells, conditions, findings, extrapolated"
PMC29067.xml,"brain, abnormal, dystrophin, dystroglycan, forebrain, fibres","dystrophin, brain, muscle, dp427, dystrophic, muscular","brain, possibly, abnormal, forebrain, dystrophins, dystroglycan"
PMC29068.xml,"unable, estrogen, vivo, mice, borders, doses","marrow, estrogen, bone, cells, osteoclast, mice","unable, estrogen, vivo, high, borders, conclusions"
PMC29073.xml,"baculovirus, proteins, protein, envelope, insect, viral","envelope, ld130, proteins, fusion, gp64, homologs","proteins, envelope, viruses, gypsy, cells, class"
PMC29077.xml,"fiber, expression, variability, ie1, high, muscle","expression, fiber, muscle, skeletal, type, types","fiber, expression, type, transgene, line, muscle"
PMC29079.xml,"regulation, sequestration, ribosomal, protein, nuclear, level","ribosomal, regulation, subunit, protein, occurs, translation","stationary, phase, cell, ribosomes, cycle, regulation"
PMC29080.xml,"family, fxr1p, unravel, members, compensatory, considered","isoforms, long, fragile, retardation, proteins, cell","isoforms, fxr1p, model, undifferentiated, fmr, myoblasts"
