file,abstract,introduction,conclusion
PMC13901_plagiated.xml,"complex cellular functions, encode breast cancer, breast cancer susceptibility, multiple complex cellular, cancer susceptibility genes, cellular functions","genes, ovaries, ovaries and uterus, genes are located, genes are common, genes are highly","non-embryogenic human tissues, proteins are widely, cell cycle, types of non-embryogenic, non-embryogenic human, human tissues"
PMC13902_plagiated.xml,"transforming growth factor, carcinogenic rat model, growth factor, carcinogenic rat, mammary tumorigenesis, tumorigenesis to test","breast cancer, breast cancer cell, cancer, breast, cancer cell, tamoxifen","preventing mammary tumorigenesis, local expression, tumorigenesis in rats, lack of significant, tamoxifen or retinoids, effective in preventing"
PMC13913_plagiated.xml,"Million Women Study, ischaemic heart disease, ovarian cancer disease, hormone replacement therapy, Million Women, Women Study","United States, sexually transmitted infections, population-based cohort study, cohort study designed, Million Women Study, transmitted infections","Million Women Study, Million Women, studies to date, significant cohort studies, Women, cohort studies"
PMC15015_plagiated.xml,"gene shaving method, examine gene expression, gene expression data, identify relevant gene, relevant gene clusters, shaving method","gene, expression, expression pattern, human brain, genes, Figure","DNA microarray experiments, Remarkable conclusions, DNA microarray, isolate intriguing gene, conclusions Our proposal, proposal involves"
PMC15023_plagiated.xml,"postnatal developing brain, developing brain varies, developmentalally regulated transcripts, complex developmental process, developmental process occurring, adult development","human brain, brain, human, development, responsible, brain development","postnatal developing murine, developing murine brain, Remarkable conclusions, developmental regulation, conclusions The study, postnatal developing"
PMC15024_plagiated.xml,"GCNF protein-coding region, GCNF protein-coding, nuclear receptor gene, future research, GCNF, protein-coding region","powerful tool, tool for understanding, understanding the structure, Genome sequencing, Genome, human genome","GCNF is located, Remarkable conclusions, exons and requires, define the regulatory, promoter region, conclusions The protein-coding"
PMC15025_plagiated.xml,"extreme sequence divergence, single superfamily, structural fold, evolutionary commonality, catalytic mechanism, mechanism and pocket","uracil DNA glycosylases, fold uracil DNA, beta fold uracil, uracil DNA, DNA glycosylases, uracil","multiple alignment analysis, sequence profile searches, protein structure comparisons, single protein superfamily, Remarkable conclusions, profile searches"
PMC15027_plagiated.xml,"Special-purpose databases based, predicted protein functions, protein functions offer, Special-purpose databases, databases based, based on phylogenetic","including plant, herbivores Crenarchaeon, animal species, living organisms, Crenarchaeon, term carnivorous","routine annotation protocols, Remarkable conclusions, annotation protocols, phylogenetic principle, principle of protein, extensive effort"
PMC15028_plagiated.xml,"access EMBL data, traditional flat-file formats, integrating CORBA, CORBA into existing, access EMBL, EMBL data","accessing medical data, data, EMBL, EMBL Institute, field of medicine, EMBL database","Logical Operators, Database object model, Object Model, resulting MLFM, CORBA infrastructure, create the CORDBA"
PMC16139_plagiated.xml,"genomic sequence symmetrically, X-alignments are thought, origin of replication, thought to arise, arise from large, large reversals","genome, human genome, nuclear genome, striking features, nuclear genome consists, nuclear","complete genome sequences, closely related species, moderately closely related, cholerae and E.coli, Remarkable conclusions, evolutionary relatedness"
PMC16145_plagiated.xml,"integrating biotic functions, Bacillus subtilis, previous generations, fine structure, structure and evolution, role of bacterial","genus Rhizobium, Rhizobium, Rhizobium genus, Rhizobium species, Rhizobium family, genus","public databases yielded, subsequent homology searches, putative protein-coding sequences, Remarkable conclusions, databases yielded, putative protein-coding"
PMC17599_plagiated.xml,"gene expression data, require further investigation, analysis of gene, gene expression, clusters of genes, tree harvesting","University Research Ethics, provide an introduction, Research Ethics Committee, expression, expression data, University Hospitals","tree harvest procedure, Remarkable conclusions, outcome measure, conclusions A general, general and promising, promising approach"
PMC17803_plagiated.xml,"B-cell clonal diversity, extent of B-cell, B-cell clonal, rheumatoid arthritis, determine the extent, clonal diversity","distinct T-cell subtypes, T-cell subtypes, abundant sub-categories, Introduction Clonal expansion, specific repertoire, subtypes","B-cell clonal expansion, data suggest, frequent occurrence, B-cell repertoire, support B-cell clonal, rheumatoid arthritis patients"
PMC25775_plagiated.xml,"TGAA located, suggest that Stylonychia, core sequence, subtelomeric regions, findings suggest, inverted repeat","Stylonychia lemnae, required and sufficient, macronuclear development, DNA, Stylonychia, specific DNA","hypotrichous ciliate Stylonychia, DNA breakage site, require specific DNA, specific DNA fragmentation, macronuclear development stage, distinct subtelomeric regions"
PMC28987_plagiated.xml,"patients being treated, discussed earlier, formulae were found, metabolic and clinical, clinical requirements, treated","parenteral nutrition mixtures, Lifestyle factors, parenteral nutrition, nutrition mixtures, Introduction A recent, older adults","prolonged storage period, ternary unsupplemented controlled, unsupplemented controlled mixtures, hours at room, room temperature, prolonged storage"
PMC28992_plagiated.xml,"carbon dioxide, information about oxygenation, found that relying, phosphate concentration, concentration in life-threatening, life-threatening situations","ICU patient resuscitation, Introduction Prehospital point, blood gases, gases and electrolytes, ICU patient, assess the level","severely traumatized patients, conventional monitoring methods, emergency situations arises, Remarkable conclusions, including the limited, traumatized patients"
PMC28994_plagiated.xml,"PMV and RRT, require PMV, PMV, RRT, poor, requiring RMT","mechanical ventilation, prolonged mechanical ventilation, Introduction The importance, mechanical, ventilation, prolonged mechanical","severe renal dysfunction, PMV and severe, long-term survival, poor short, prognosis for weaning, weaning success"
PMC29004_plagiated.xml,"specific clinical scenarios, Significant agreement, therapeutic options, interpretation of chest, chest radiographs, specific clinical","chest radiographs, radiographs, interpretation, chest, interpretation of radiographs, interpretation of chest","potential outcomes, outcomes of redefining, redefining this area, future, healthcare services, potential"
