file,abstract,introduction,conclusion
PMC13901_plagiated.xml,"expressed, present, outside, various, type, two","gene, ovary, mutation, found, expressed, different","gene, ovary, mutation, found, expressed, different"
PMC13902_plagiated.xml,"breast, effect, mechanism, phenotype, molecular, preventing","breast, cancer, cell, agent, rat, tumor","breast, cancer, cell, tamoxifen, tumor, rat"
PMC13913_plagiated.xml,"woman, study, significant, one, hrt, million","woman, study, mws, united, design, state","woman, study, mws, united, design, state"
PMC15015_plagiated.xml,"gene, sample, shaving, method, array, data","gene, expression, cluster, figure, sample, brain","gene, expression, cluster, figure, brain, method"
PMC15023_plagiated.xml,"gene, fingerprint, transcript, individual, profile, expression","brain, gene, development, function, neocortex, human","brain, development, gene, function, neocortex, expression"
PMC15024_plagiated.xml,"research, region, receptor, particular, located, structure","genome, human, cell, sequencing, gcnf, method","human, genome, mouse, sequencing, method, cell"
PMC15025_plagiated.xml,"protein, family, difference, sequence, form, mean","uracil, protein, dna, found, glycosylases, placenta","uracil, protein, found, dna, placenta, nucleus"
PMC15027_plagiated.xml,"database, functional, annotation, classification, protein, probable","genome, analysis, annotation, carnivorous, database, functional","analysis, genome, annotation, carnivorous, database, organism"
PMC15028_plagiated.xml,"object, standard, model, database, server, specification","data, database, embl, protocol, use, object","data, database, embl, protocol, use, object"
PMC16139_plagiated.xml,"genome, specie, remarkable, sequence, origin, pair","genome, nuclear, chromosome, change, human, part","genome, nuclear, change, human, chromosome, dna"
PMC16145_plagiated.xml,"function, sequence, genome, provided, randomisation, random","rhizobium, genome, genus, found, specie, gene","rhizobium, genome, genus, found, sequencing, relatively"
PMC17599_plagiated.xml,"model, cluster, method, gene, data, harvest","expression, subject, gene, uk, harvesting, sat","expression, subject, gene, uk, harvesting, sat"
PMC17803_plagiated.xml,"b, cell, center, patient, expansion, arthritis","cell, clonal, repertoire, subtypes, expansion, patient","cell, clonal, repertoire, subtypes, patient, expansion"
PMC25775_plagiated.xml,"dna, sequence, site, stage, require, revealed","dna, region, sequence, process, found, stylonychia","dna, region, sequence, process, found, stylonychia"
PMC28987_plagiated.xml,"stability, mixture, storage, ternary, solely, stable","mortality, mixture, nutrition, parenteral, risk, cause","mortality, mixture, nutrition, parenteral, risk, cause"
PMC28992_plagiated.xml,"blood, analysis, prehospital, emergency, patient, provide","electrolyte, blood, prehospital, outcome, gas, ass","electrolyte, blood, prehospital, ass, outcome, gas"
PMC28994_plagiated.xml,"longer, renal, patient, transfer, poor, severe","patient, ventilation, anaphylaxis, mechanical, impact, study","patient, mechanical, ventilation, anaphylaxis, impact, study"
PMC29004_plagiated.xml,"radiologist, review, cost, radiograph, result, otherwise","radiograph, chest, interpretation, pediatric, radiologist, difference","radiograph, chest, interpretation, pediatric, radiologist, study"
PMC29012_plagiated.xml,"content, prevent, position, protective, prevents, risk","ulceration, patient, cisapride, gastric, usually, irenal","ulceration, cisapride, patient, gastric, usually, irenal"
PMC29014_plagiated.xml,"catheter, cm, port, administration, redesigned, study","port, drug, placed, separate, container, closed","port, drug, placed, separate, container, closed"
PMC29016_plagiated.xml,"child, heliox, suggest, tube, pulmonary, resistance","model, pulmonary, heliox, ventilation, sib, icterus","model, pulmonary, heliox, ventilation, sib, icterus"
PMC29017_plagiated.xml,"need, mortality, svr, summarize, subject, study","svr, lipoprotein, high, low, study, patient","svr, lipoprotein, high, low, elderly, study"
PMC29028_plagiated.xml,"study, prospective, question, limitation, may, model","study, pressure, ac, iap, included, patient","study, pressure, ac, iap, included, patient"
PMC29030_plagiated.xml,"guideline, used, institution, agent, stress, published","ulcer, year, patient, stress, mean, severe","ulcer, year, stress, patient, mean, severe"
PMC29031_plagiated.xml,"mortality, septiceptic, shock, note, patient, product","mortality, patient, thrombocytopenia, high, study, risk","mortality, patient, thrombocytopenia, high, study, risk"
PMC29044_plagiated.xml,"isolated, vasculitis, neurological, cns, primary, antibody","gb, history, male, characterized, pain, syndrome","gb, history, male, characterized, pain, syndrome"
PMC29046_plagiated.xml,"early, diagnosis, disease, critical, condition, application","sample, biopsy, pseudomonas, wound, aeruginosa, p","sample, biopsy, pseudomonas, wound, aeruginosa, p"
PMC29048_plagiated.xml,"malaria, spleen, still, result, rupture, seem","spleen, msp, caused, malarial, rupture, disease","spleen, msp, caused, malarial, rupture, disease"
PMC29057_plagiated.xml,"dna, structure, cell, poly, previously, ca","dna, loop, protein, used, series, sequence","dna, loop, protein, used, series, sequence"
PMC29058_plagiated.xml,"protein, kinase, residue, sequence, substrate, vaccinia","virus, infection, individual, however, viral, human","virus, infection, individual, human, however, viral"
PMC29059_plagiated.xml,"aaa, activity, tissue, section, shown, new","involved, drug, substrate, also, tissue, cell","involved, substrate, drug, tissue, cell, aaa"
PMC29061_plagiated.xml,"study, deletion, metabolic, bacteria, possible, metabolism","infection, coli, model, metabolic, genetic, common","infection, coli, model, metabolic, food, common"
PMC29062_plagiated.xml,"cell, analysis, dynamic, pattern, region, provide","cell, disease, protein, moesin, associated, surface","cell, disease, protein, moesin, investigate, mbp"
PMC29063_plagiated.xml,"model, response, presented, successful, srf, sre","catecholamine, family, brain, also, sre, member","brain, catecholamine, family, member, also, sre"
