file,abstract,introduction,conclusion
PMC13901_plagiated.xml,"genes, expression, expressed, uncertain, encode, homologous","brca1, brca2, genes, ovaries, expressed, mutation","expressed, brca1, widely, associated, brac2, brahmi1"
PMC13902_plagiated.xml,"agents, tgf, model, useful, combination, growth","breast, cancer, tamoxifen, tgf, rats, agents","breast, effects, work, demonstrated, involve, increases"
PMC13913_plagiated.xml,"therapy, cancer, disease, women, ischaemic, breast","women, study, mws, states, united, design","women, significant, cohort, million, hrt, study"
PMC15015_plagiated.xml,"gene, using, shaving, require, relevant, possible","gene, genes, expression, figure, cluster, brain","genes, shaving, based, data, outcome, gene"
PMC15023_plagiated.xml,"varies, transcripts, area, brain, complex, developing","brain, genes, development, responsible, expression, human","genes, expression, undergoing, confirm, gene, furthermore"
PMC15024_plagiated.xml,"structure, research, region, receptor, protein, nuclear","genome, receptor, gcnf, humans, mouse, sequencing","research, region, receptor, subfamily, genomic, belongs"
PMC15025_plagiated.xml,"udgs, superfamily, commonality, constructions, differences, divergence","uracil, dna, proteins, nuclei, fold, glycosylases","families, protein, sequence, used, distributions, forms"
PMC15027_plagiated.xml,"gene, genome, functions, functional, features, exchange","carnivorous, annotation, analysis, genome, organisms, sequenced","annotation, classification, functional, database, useful, enables"
PMC15028_plagiated.xml,"way, existing, applications, built, challenges, clients","data, embl, database, use, applications, architecture","object, model, embl, standard, server, database"
PMC16139_plagiated.xml,"thought, symmetrically, arise, bacterial, caused, changes","genome, nuclear, human, events, copies, chromosome","genome, species, complete, genes, features, evolutionary"
PMC16145_plagiated.xml,"genome, transposable, bacteria, bacterial, biotic, cilia","rhizobium, genome, genus, genes, relatively, sequenced","genome, functions, yielded, extension, despite, distribution"
PMC17599_plagiated.xml,"use, tree, require, investigation, intriguing, harvesting","expression, genes, supervised, harvesting, data, uk","data, tree, gene, expression, methods, harvest"
PMC17803_plagiated.xml,"using, expanded, dna, vectors, determine, idea","cell, cells, clonal, repertoire, subtypes, expansion","cell, expansion, rheumatoid, clonal, cells, memory"
PMC25775_plagiated.xml,"tgaa, suggest, subtelomeric, stylonychia, sequence, repeat","dna, regions, stylonychia, fragmentation, processes, sequence","dna, sufficient, precursor, breakage, cbs, ciliate"
PMC28987_plagiated.xml,"treated, requirements, patients, metabolic, formulae, earlier","mortality, nutrition, risk, parenteral, mixtures, higher","stability, used, period, 28, choice, clinical"
PMC28992_plagiated.xml,"threatening, information, allows, arrhythmia, base, capnometry","blood, prehospital, gases, outcome, assess, electrolytes","blood, prehospital, emergency, capnometry, future, factors"
PMC28994_plagiated.xml,"patients, term, survival, hospital, insufficiency, long","patients, mechanical, ventilation, anaphylaxis, impact, study","poor, transfer, longer, patients, renal, wet"
PMC29004_plagiated.xml,"therapeutic, support, chest, clinical, current, decision","radiographs, chest, interpretation, pediatric, radiologists, differences","radiologist, radiographs, review, given, future, driving"
PMC29012_plagiated.xml,"associated, position, patients, ventilator, gastritis, aspartam","ulceration, cisapride, patients, irenal, usually, gastric","contents, ventilator, kept, intubated, hand, gastric"
PMC29014_plagiated.xml,"port, use, effects, administer, adverse, catheter","port, drug, placed, container, separate, closed","catheter, cm, ports, administration, vivo, investigate"
PMC29016_plagiated.xml,"ventilation, pediatric, mechanical, airways, artificial, bronchospasm","model, pulmonary, sib, heliox, icterus, ventilation","heliox, children, high, mechanical, measured, lung"
PMC29017_plagiated.xml,"patients, svr, low, treat, hypotension, aware","svr, low, high, elderly, lipoprotein, patients","vr, svr, 24, 55, 800dyness, cm5"
PMC29028_plagiated.xml,"abdominal, pressure, intra, feel, accurate, accurately","study, abdominal, acs, patients, iap, included","did, study, urinary, cavity, diagnosing, despite"
PMC29030_plagiated.xml,"guidelines, use, ulcer, stress, published, prophylaxis","years, ulcers, stress, patients, severe, mean","agent, guidelines, institutions, used, available, commonly"
PMC29031_plagiated.xml,"turn, true, 50, blood, causal, consumption","patients, mortality, thrombocytopenia, 000, 50, risk","mortality, use, lacking, infection, independent, illness"
PMC29044_plagiated.xml,"caused, immune, failure, enriched, developed, despite","gbs, history, cns, barrè, guillain, pain","isolated, vasculitis, primary, secondary, neurological, cns"
PMC29046_plagiated.xml,"used, quickly, precision, pathogens, methods, high","samples, wound, aeruginosa, pseudomonas, biopsy, pcr","early, diseases, rtd, applications, pcr, pathogens"
PMC29048_plagiated.xml,"cases, 1992, city, highest, fever, diyarbakir","spleen, malarial, msp, malaria, caused, condition","malaria, vivax, visiting, area, asymptomatic, bursting"
PMC29057_plagiated.xml,"dna, support, strongly, joining, involves, intersection","dna, loops, binding, used, proteins, organized","dna, poly, ca, previously, type, function"
PMC29058_plagiated.xml,"protein, site, phosphorylation, contrast, enzyme, identified","virus, vv, viral, individuals, isolated, human","protein, h5r, vaccinia, virus, b1r, kinase"
PMC29059_plagiated.xml,"visualisation, technique, polyacrylamide, gels, fresh, exhibit","substrate, involved, aaa, activity, ches, aryl","aaa, activity, vitro, gels, locus, levels"
PMC29061_plagiated.xml,"information, additional","infections, coli, hospital, systems, genetic, metabolic","metabolic, metabolism, bacteria, possible, deletion, condition"
PMC29062_plagiated.xml,"actin, changes, dynamic, imaging, gfp, fluorescent","moesin, cells, protein, abnormalities, associated, number","actin, analysis, gfp, dynamic, cytoskeleton, imaging"
PMC29063_plagiated.xml,"transcription, tcf, act, data, dependent, ebp","fos, brain, catecholamine, protein, sre, family","model, transactivation, successful, conclusions, dependent, ebp"
PMC29065_plagiated.xml,"gene, transfer, use, mediated, article, based","gene, delivery, cells, devices, systems, rat","gene, data, transfer, adenoviral, rhscs, efficiency"
PMC29066_plagiated.xml,"vitro, substance, structural, resveratrol, research, morphological","endothelial, cells, expression, resveratrol, changes, bovine","cells, vitro, elongated, investigation, interspersed, human"
PMC29067_plagiated.xml,"vascular, suggesting, membranes, link, interface, glial","muscle, patients, dystrophy, total, dystrophin, assigned","utrophin, unlikely, glia, forebrain, exists, endothelial"
PMC29068_plagiated.xml,"vivo, undergoing, treatment, structure, results, provide","osteoclast, bone, marrow, like, cells, structures","vivo, undergoing, treatment, structure, results, remarkable"
PMC29073_plagiated.xml,"proteins, protein, insect, envelope, transposition, families","contaminated, contact, spread, surfaces, baculovirus, ld130","proteins, envelope, viruses, gypsy, cells, class"
PMC29077_plagiated.xml,"expression, variability, levels, muscle, gene, fiber","expression, fiber, muscle, ie1, types, gene","muscle, types, expression, fiber, wide, germ"
